POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190901,0,0,3,19,3,341,31,3,1523,25,5,25,30,15,7,17,8,0,12,0,25,3,1014,0,1012,3,3,3,10,9,300,1658,7,5,300,1707,,,,,10,6,,1722,37,2039,82,341,66,81,18,1,,56,267,1284,,,34,,,,,0,0,0,,,,,,0,0,0,,5,5,5,1
34154001,20190902,0,0,0,16,8,515,31,0,1432,24,4,23,90,12,9,15,0,0,14,2,23,9,1017,3,1015,8,4,1,12,4,300,1533,7,8,310,1541,,,,,11,8,,1533,27,1528,75,525,892,0,12,7,,43,707,2227,,,90,,,,,0,0,0,,,,,,0,0,0,,7,2,6,7
34154001,20190903,0,0,0,16,3,524,32,8,1407,24,2,24,55,14,3,15,5,0,16,5,24,6,1019,5,1018,2,3,9,13,4,20,826,8,0,360,929,,,,,12,6,,826,16,1410,80,2012,798,1,11,2,,39,737,2323,,,95,,,,,0,0,0,,,,,,0,0,0,,7,8,7,1
34154001,20190904,0,0,0,14,5,427,29,9,1453,24,4,22,20,9,2,12,1,0,15,4,22,2,1016,7,1013,7,3,4,10,8,280,2158,6,8,300,2159,,,,,10,2,,2158,26,1957,78,1911,716,0,13,0,,44,741,2280,,,96,,,,,0,0,0,,,,,,0,0,0,,6,1,5,9
34154001,20190905,0,0,0,20,0,545,28,8,1324,23,6,24,40,13,8,17,9,0,8,8,24,4,1017,3,1015,4,6,9,18,6,290,1210,11,6,290,1143,,,,,17,4,,1210,19,1449,55,554,983,0,10,2,,36,712,2208,,,92,,,,,0,0,0,,,,,,0,0,0,,9,0,8,5
34154001,20190906,0,0,0,16,9,416,27,8,1408,21,7,22,35,14,2,16,0,0,10,9,22,4,1018,6,1016,8,6,5,15,6,350,1149,9,9,10,1003,,,,,15,4,,1149,24,1123,46,214,1066,0,8,7,,34,736,2252,,,96,,,,,0,0,0,,,,,,0,0,0,,8,8,7,6
34154001,20190907,0,0,0,16,8,506,29,2,1355,22,8,23,0,14,6,16,0,0,12,4,23,0,1018,1,1015,7,5,6,13,9,300,1517,9,9,310,1559,,,,,13,5,,1517,18,943,49,2359,1345,0,8,4,,31,664,2202,,,87,,,,,0,0,0,,,,,,0,0,0,,8,9,7,9
34154001,20190908,0,0,0,15,1,430,26,4,1554,20,6,20,75,10,3,13,2,0,11,3,20,8,1017,2,1015,0,4,3,12,8,330,1312,8,4,290,1532,,,,,12,1,,1525,20,1508,67,438,747,0,9,3,,41,650,2094,,,85,,,,,0,0,0,,,,,,0,0,0,,6,8,6,1
34154001,20190909,0,6,72,11,0,19,22,7,1231,18,0,16,85,5,8,9,3,0,11,7,16,9,1015,6,1012,7,3,0,8,8,210,1452,6,0,200,1436,,,,,8,3,,1452,28,1156,81,2326,413,65,10,9,,54,525,1975,,,69,,,,,0,0,0,,,,,,,0,0,,4,3,4,1
34154001,20190910,14,9,480,13,6,719,18,6,1541,15,9,16,10,13,2,12,9,0,5,0,16,1,1014,3,1011,0,5,0,13,0,50,1723,8,5,20,1940,,,,,12,6,,1723,65,1540,94,746,0,947,14,8,,83,0,437,,,0,,,,,0,0,0,,,,,,0,0,0,,1,9,1,8
34154001,20190911,0,0,0,14,4,1914,29,3,1219,21,8,21,85,14,1,13,9,0,14,9,21,9,1021,9,1017,2,4,4,10,7,10,718,6,9,230,1634,,,,,9,4,,710,32,1217,83,2015,166,58,14,4,,56,504,1741,,,67,,,,,0,0,0,,,,,,0,0,0,,5,6,5,4
