POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,
34178001,20191201,0,0,,7,2,1751,14,9,1433,9,2,11,5,,,0,7,7,11,1,,,1,5,4,9,260,2348,3,0,260,1510,,,,,4,6,,2348,69,1430,100,300,0,1243,10,6,,91,,,,,,,,,,,,,,,,,,,,,,,0,8
34178001,20191202,0,0,,5,1,2237,13,4,1219,9,4,9,25,,,0,8,3,9,3,,,3,4,11,5,350,1347,7,0,350,1347,,,,,11,2,,1347,53,1223,79,418,0,0,7,7,,65,,,,,,,,,,,,,,,,,,,,,,,1,7
34178001,20191203,0,0,,0,6,700,9,7,1446,6,2,5,15,,,0,9,1,5,2,,,0,8,4,8,10,333,2,9,350,340,,,,,4,6,,332,62,1226,92,2314,0,698,7,5,,79,,,,,,,,,,,,,,,,,,,,,,,0,4
34178001,20191204,0,0,,5,9,1924,11,9,2014,10,0,8,90,,,0,6,0,8,9,,,3,2,10,5,30,1246,7,0,20,1252,,,,,10,2,,1246,45,2204,88,1,0,172,7,5,,62,,,,,,,,,,,,,,,,,,,,,,,1,6
34178001,20191205,0,0,,4,7,659,11,8,1353,8,4,8,25,,,0,7,1,8,3,,,1,1,4,5,30,401,2,9,240,1419,,,,,4,2,,410,56,6,87,1852,0,144,8,2,,74,,,,,,,,,,,,,,,,,,,,,,,0,8
34178001,20191206,0,0,,5,4,158,15,1,1424,8,7,10,25,,,0,9,7,10,3,,,1,0,3,9,240,929,2,8,240,925,,,,,3,7,,929,49,1430,94,2251,0,674,8,7,,78,,,,,,,,,,,,,,,,,,,,,,,1,1
34178001,20191207,0,0,,3,0,406,15,7,1233,8,5,9,35,,,0,12,7,9,4,,,1,9,9,7,350,1446,6,7,360,1447,,,,,9,4,,1446,57,1234,98,37,0,902,9,0,,82,,,,,,,,,,,,,,,,,,,,,,,1,0
34178001,20191208,1,8,,3,9,734,15,6,1357,10,5,9,75,,,0,11,7,9,8,,,2,1,17,0,270,2226,10,0,280,2226,,,,,16,4,,2226,59,2218,98,2038,0,866,10,3,,82,,,,,,,,,,,,,,,,,,,,,,,0,8
34178001,20191209,0,2,,10,1,759,12,6,1328,10,9,11,35,,,0,2,5,11,4,,,8,1,25,1,310,1520,13,4,320,1731,,,,,21,7,,1520,55,1324,81,2044,0,6,8,2,,63,,,,,,,,,,,,,,,,,,,,,,,3,0
34178001,20191210,0,0,,3,5,728,11,9,1122,6,9,7,70,,,0,8,4,7,7,,,2,8,19,8,320,310,10,4,330,116,,,,,18,7,,110,27,1116,74,2259,279,0,5,2,,54,,,,,,,,,,,,,,,,,,,,,,,2,3
34178001,20191211,5,2,,0,5,2328,8,6,1909,5,8,4,55,,,0,8,1,4,6,,,2,1,18,4,310,2229,8,7,290,2232,,,,,16,6,,2229,58,333,96,1419,0,680,7,3,,78,,,,,,,,,,,,,,,,,,,,,,,0,5
34178001,20191212,6,0,,5,8,2354,14,0,550,8,1,9,90,,,0,8,2,9,9,,,2,4,12,3,280,230,6,1,310,235,,,,,11,8,,230,66,428,99,1945,0,778,8,9,,83,,,,,,,,,,,,,,,,,,,,,,,1,5
34178001,20191213,3,2,,6,5,121,15,4,653,11,1,10,95,,,0,8,9,11,0,,,6,5,27,9,280,705,18,1,290,750,,,,,26,2,,710,58,1428,100,200,0,647,10,7,,82,,,,,,,,,,,,,,,,,,,,,,,1,4
34178001,20191214,0,0,,8,8,2011,16,4,1200,13,5,12,60,,,0,7,6,12,6,,,6,0,21,8,260,231,13,4,270,235,,,,,21,0,,231,64,823,95,2104,0,432,11,8,,77,,,,,,,,,,,,,,,,,,,,,,,1,7
34178001,20191215,0,0,,6,3,627,15,5,1329,11,6,10,90,,,0,9,2,10,9,,,2,4,8,0,70,2344,5,4,60,0,,,,,7,8,,2344,75,1319,99,633,0,1279,12,1,,89,,,,,,,,,,,,,,,,,,,,,,,0,3
34178001,20191216,0,0,,11,3,2309,14,3,212,13,5,12,80,,,0,3,0,12,8,,,6,5,18,4,120,1745,11,0,120,1749,,,,,16,8,,1745,84,1130,95,1,0,1440,13,8,,89,,,,,,,,,,,,,,,,,,,,,,,0,5
34178001,20191217,0,2,,13,4,1845,15,5,1301,14,6,14,45,,,0,2,1,14,5,,,5,7,15,4,130,43,8,6,120,834,,,,,14,3,,43,87,740,97,2006,0,1440,15,2,,92,,,,,,,,,,,,,,,,,,,,,,,0,6
34178001,20191218,0,8,,14,0,419,16,3,1340,14,4,15,15,,,0,2,3,15,2,,,4,1,11,1,140,2044,6,0,140,2028,,,,,10,4,,2044,84,1335,99,305,0,1440,15,5,,95,,,,,,,,,,,,,,,,,,,,,,,0,7
34178001,20191219,0,2,,13,6,1744,15,2,1214,14,0,14,40,,,0,1,6,14,4,,,5,9,14,2,120,1521,8,8,140,1109,,,,,13,3,,1100,82,2212,96,126,0,1440,14,5,,91,,,,,,,,,,,,,,,,,,,,,,,0,9
34178001,20191220,4,4,,8,4,1751,15,0,711,12,5,11,70,,,0,6,6,11,7,,,3,2,17,8,140,42,9,7,170,435,,,,,17,2,,42,64,1358,98,1018,0,1201,12,6,,86,,,,,,,,,,,,,,,,,,,,,,,0,5
34178001,20191221,4,8,,8,0,1832,15,2,1307,11,6,11,60,,,0,7,2,11,6,,,4,9,18,1,280,2148,10,4,340,2033,,,,,17,0,,2149,58,1310,92,147,0,425,10,2,,75,,,,,,,,,,,,,,,,,,,,,,,1,6
34178001,20191222,3,2,,8,2,14,13,2,1109,10,8,10,70,,,0,5,0,10,7,,,7,7,26,7,280,726,15,0,280,719,,,,,25,0,,713,59,726,88,14,0,347,9,7,,75,,,,,,,,,,,,,,,,,,,,,,,1,8
34178001,20191223,0,4,,8,6,745,13,7,1353,10,6,11,15,,,0,5,1,11,2,,,5,2,20,8,310,39,11,9,300,258,,,,,19,9,,39,53,1148,90,2342,0,232,8,6,,68,,,,,,,,,,,,,,,,,,,,,,,2,2
34178001,20191224,0,0,,6,4,243,18,9,1104,12,5,12,65,,,0,12,5,12,7,,,3,0,15,6,270,1316,9,5,260,1308,,,,,14,8,,1316,59,1108,93,143,0,899,11,7,,81,,,,,,,,,,,,,,,,,,,,,,,1,1
34178001,20191225,0,0,,10,5,234,19,5,1353,12,6,15,0,,,0,9,0,15,0,,,1,3,5,8,360,749,4,4,350,749,,,,,5,6,,749,30,1606,85,321,167,197,8,8,,60,,,,,,,,,,,,,,,,,,,,,,,2,3
34178001,20191226,0,0,,3,4,427,14,9,1344,9,9,9,15,,,0,11,5,9,2,,,3,7,14,8,300,1217,8,9,300,1221,,,,,14,1,,1218,54,10,81,901,0,9,8,2,,67,,,,,,,,,,,,,,,,,,,,,,,1,5
34178001,20191227,0,0,,8,5,2036,14,2,1255,11,6,11,35,,,0,5,7,11,4,,,4,4,14,9,320,1954,9,2,320,2001,,,,,13,7,,1954,59,402,77,1813,0,0,9,2,,68,,,,,,,,,,,,,,,,,,,,,,,1,9
34178001,20191228,0,0,,5,3,738,14,7,1348,8,8,10,0,,,0,9,4,10,0,,,1,4,5,9,190,42,4,1,170,44,,,,,5,6,,42,51,1341,93,2028,0,888,8,7,,78,,,,,,,,,,,,,,,,,,,,,,,1,1
34178001,20191229,0,0,,3,1,705,11,9,1340,7,0,7,50,,,0,8,8,7,5,,,1,3,4,5,160,1214,3,1,280,416,,,,,4,4,,1214,64,1346,97,603,0,1049,8,4,,84,,,,,,,,,,,,,,,,,,,,,,,0,9
34178001,20191230,0,0,,2,8,122,9,8,1426,7,1,6,30,,,0,7,0,6,3,,,0,5,3,3,350,2048,2,5,340,2051,,,,,3,1,,2048,77,1443,99,358,,,9,1,,90,,,,,,,,,,,,,,,,,,,,,,,0,3
